id,comment,name,ref_id,id_gr,rest,raw_image,description
1,,Приседания со штангой на плечах,0,12,0,,
2,,Жим штанги лежа на горизонтальной скамье,0,11,0,,
3,,Становая тяга,0,10,0,,
4,,Жим ногами в тренажере,0,6,0,,
5,,Гиперэкстензия,0,3,0,,
6,,Жим штанги на скамье с наклоном вверх,0,11,0,,
7,,Становая тяга с плинтов,0,10,0,,
8,,Жим штанги с груди сидя в смите,0,4,0,,
9,,Жим гантелей на скамье с наклоном вверх,0,11,0,,
10,,Полуприсед со штангой,0,12,0,,
11,,Пресс в тренажере,0,2,0,,
12,,Тяга штанги в наклоне,0,3,0,,
13,,Тяга гантели одной рукой в наклоне,0,3,0,,
14,,Французский жим лежа,0,8,0,,
15,,Жим лежа в слинге,0,11,0,,
16,,Становая тяга из ямы,0,10,0,,
17,,Вертикальная тяга верхнего блока к груди широким хватом,0,3,0,,
18,,Подъем гантелей на бицепс сидя,0,7,0,,
19,,Горизонтальная тяга узким хватом в блочном тренажере,0,3,0,,
20,,Разгибание рук с гантелью из-за головы сидя,0,8,0,,
21,,Французский жим в блочном тренажере,0,8,0,,
22,,Подъем штанги на бицепс стоя,0,7,0,,
23,,Бабочка,0,1,0,,
24,,Разведение гантелей в стороны стоя,0,4,0,,
25,,Жим книзу в блочном тренажере двумя руками,0,8,0,,
26,,Сгибание ног лежа на тренажере,0,6,0,,
27,,Жим П-грифа,0,11,0,,
28,,Жим штанги узким хватом лежа,0,8,0,,
29,,Жим лежа с паузой,0,11,0,,
30,,Отжимания от скамьи в упоре сзади,0,8,0,,
31,,Приседания на скамью,0,12,0,,
32,,Жим гантелей сидя,0,4,0,,
33,,Жим гантелей лежа на горизонтальной скамье,0,11,0,,
35,,Верхний хаммер,0,3,0,,
37,,Разгибания ног на тренажере,0,6,0,,
38,,Наклоны со штангой на плечах,0,3,0,,
39,,Махи сидя,0,4,0,,
40,,Нижний хаммер,0,3,0,,
41,,Подъем на бицепс в блочном тренажере стоя,0,7,0,,
42,,Присед с паузой внизу,0,12,0,,
43,,Сгибания ног сидя на тренажере,0,6,0,,
44,,Разведение гантелей сидя,0,4,0,,
45,,Жим с бруска,0,11,0,,
46,,Подъем гантелей перед собой,0,4,0,,
47,,Махи одной рукой поочередно,0,4,0,,
48,,Молоток,0,7,0,,
49,,Вертикальная тяга верхнего блока за голову широким хватом,0,3,0,,
51,,Становая тяга с паузой ,0,10,0,,
52,,Разведение гантелей на горизонтальной скамье,0,1,0,,
53,,Жим сидя в тренажере,0,4,0,,
54,,Сгибание рук на бицепс в кроссовере,0,7,0,,
55,,Подьем гантелей перед собой сидя,0,4,0,,
57,,Скручивание на скамье с наклоном вниз,0,2,0,,
58,,Рычажная тяга,0,3,0,,
59,,Вертикальная тяга верхнего блока к груди D-рукоятки,0,3,0,,
60,,Подьем на бицепс на скамье скота,0,7,0,,
61,,Бицепс в тренажере,0,7,0,,
62,,Присед с двумя паузами,0,12,0,,
63,,Горизонтальная тяга широким хватом в блочном тренажере,0,3,0,,
64,,Вертикальная тяга верхнего блока к груди обратным хватом,0,3,0,,
65,,Отжимания на брусьях,0,8,0,,
66,,Тяга штанги к подбородку,0,4,0,,
67,,Протяжка,0,3,0,,
68,,Протяжка на блоке,0,3,0,,
69,,Сведение в кроссовере через верхние блоки,11,1,0,,
70,,Сведение ног в тренажере,0,6,0,,
71,,Жим Арнольда,47,4,0,,
72,,Отведение в кроссовере на среднюю дельту,0,4,0,,
73,,Французский жим гантелей лежа,0,8,0,,
74,,Жим в смите под углом,0,11,0,,
75,,Присед со штангой на груди,0,12,0,,
76,,Жим штанги стоя,49,4,0,,
77,,Жим средним хватом,0,11,0,,
78,,Жим штанги с груди сидя на опорной скамье,44,4,0,,
79,,Жим книзу одной рукой в блочном тренажере обратным хватом,82,8,0,,
80,,Разведение ног на тренажере,92,6,0,,
81,,Жим с цепями,0,11,0,,
