id,number,done,comment,id_wo_ex
67,5,1,,2_4
68,4,1,,2_4
69,3,1,,2_4
70,2,1,,2_4
71,1,1,,2_4
72,3,1,,2_7
73,2,1,,2_7
74,1,1,,2_7
75,6,1,,3_2
76,5,1,,3_2
77,4,1,,3_2
78,3,1,,3_2
79,2,1,,3_2
80,1,1,,3_2
81,2,1,,3_9
82,1,1,,3_9
83,3,1,,3_8
84,2,1,,3_8
85,1,1,,3_8
95,2,1,,4_10
96,1,1,,4_10
97,4,1,,4_1
98,3,1,,4_1
99,2,1,,4_1
100,1,1,,4_1
101,3,1,,4_3
102,2,1,,4_3
103,1,1,,4_3
119,6,1,,5_2
120,5,1,,5_2
121,4,1,,5_2
122,3,1,,5_2
123,2,1,,5_2
124,1,1,,5_2
125,6,1,,5_15
126,5,1,,5_15
127,4,1,,5_15
128,3,1,,5_15
129,2,1,,5_15
130,1,1,,5_15
131,3,1,,5_12
132,2,1,,5_12
133,1,1,,5_12
134,3,1,,5_13
135,2,1,,5_13
136,1,1,,5_13
137,3,1,,5_14
138,2,1,,5_14
139,1,1,,5_14
170,3,1,,6_1
171,2,1,,6_1
172,1,1,,6_1
173,5,1,,6_16
174,4,1,,6_16
175,3,1,,6_16
176,2,1,,6_16
177,1,1,,6_16
178,4,1,,6_7
179,3,1,,6_7
180,2,1,,6_7
181,1,1,,6_7
191,9,1,,7_2
192,8,1,,7_2
193,7,1,,7_2
194,6,1,,7_2
195,5,1,,7_2
196,4,1,,7_2
197,3,1,,7_2
198,2,1,,7_2
199,1,1,,7_2
200,4,1,,7_17
201,3,1,,7_17
202,2,1,,7_17
203,1,1,,7_17
204,4,1,,7_18
205,3,1,,7_18
206,2,1,,7_18
207,1,1,,7_18
220,2,1,,8_10
221,1,1,,8_10
222,4,1,,8_1
223,3,1,,8_1
224,2,1,,8_1
225,1,1,,8_1
226,6,1,,8_3
227,5,1,,8_3
228,4,1,,8_3
229,3,1,,8_3
230,2,1,,8_3
231,1,1,,8_3
247,14,1,,9_2
248,13,1,,9_2
249,12,1,,9_2
250,11,1,,9_2
251,10,1,,9_2
252,9,1,,9_2
253,8,1,,9_2
254,7,1,,9_2
255,6,1,,9_2
256,5,1,,9_2
257,4,1,,9_2
258,3,1,,9_2
259,2,1,,9_2
260,1,1,,9_2
261,3,1,,9_19
262,2,1,,9_19
263,1,1,,9_19
264,4,1,,9_20
265,3,1,,9_20
266,2,1,,9_20
267,1,1,,9_20
277,3,1,,11_1
278,2,1,,11_1
279,1,1,,11_1
280,4,1,,11_16
281,3,1,,11_16
282,2,1,,11_16
283,1,1,,11_16
284,2,1,,11_3
285,1,1,,11_3
294,8,1,,13_2
295,7,1,,13_2
296,6,1,,13_2
297,5,1,,13_2
298,4,1,,13_2
299,3,1,,13_2
300,2,1,,13_2
301,1,1,,13_2
302,4,1,,13_17
303,3,1,,13_17
304,2,1,,13_17
305,1,1,,13_17
306,4,1,,13_19
307,3,1,,13_19
308,2,1,,13_19
309,1,1,,13_19
310,3,1,,13_21
311,2,1,,13_21
312,1,1,,13_21
332,2,1,,14_1
333,1,1,,14_1
334,3,1,,14_7
335,2,1,,14_7
336,1,1,,14_7
337,1,1,,14_3
338,3,1,,14_22
339,2,1,,14_22
340,1,1,,14_22
341,3,1,,14_5
342,2,1,,14_5
343,1,1,,14_5
349,5,1,,15_2
350,4,1,,15_2
