2014-04-18 ; Жим ногами + дотяг
;;Становая тяга с плинтов;    200.00;    200.00;    200.00;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ; КО
;;;         2;         2;         2;;;;;;;;;;;;;;;"=СУММПРОИЗВ(R[-1]C[-17]:R[-1]C[-1];RC[-17]:RC[-1])";"=СУММ(RC[-18]:RC[-2])";"=RC[1]/RC[2]";"=RC[-3]/RC[-2]";    220.00;"=RC[-3]*RC[-4]"
2014-04-21 ; Жим 105 3х4
;;Жим штанги лежа на горизонтальной скамье;     70.00;     80.00;     90.00;    105.00;    105.00;    105.00;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ; КО
;;;         5;         5;         3;         4;         4;         4;;;;;;;;;;;;"=СУММПРОИЗВ(R[-1]C[-17]:R[-1]C[-1];RC[-17]:RC[-1])";"=СУММ(RC[-18]:RC[-2])";"=RC[1]/RC[2]";"=RC[-3]/RC[-2]";    137.50;"=RC[-3]*RC[-4]"
;;Жим гантелей на скамье с наклоном вверх;     25.00;     25.00;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ; КО
;;;        15;        15;;;;;;;;;;;;;;;;"=СУММПРОИЗВ(R[-1]C[-17]:R[-1]C[-1];RC[-17]:RC[-1])";"=СУММ(RC[-18]:RC[-2])";"=RC[1]/RC[2]";"=RC[-3]/RC[-2]";     39.60;"=RC[-3]*RC[-4]"
;;Жим штанги с груди сидя в смите;     50.00;     50.00;     50.00;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ; КО
;;;         6;         6;         6;;;;;;;;;;;;;;;"=СУММПРОИЗВ(R[-1]C[-17]:R[-1]C[-1];RC[-17]:RC[-1])";"=СУММ(RC[-18]:RC[-2])";"=RC[1]/RC[2]";"=RC[-3]/RC[-2]";     75.48;"=RC[-3]*RC[-4]"
2014-04-23 ; Доседы 210 и тяга
;;Полуприсед со штангой;    210.00;    210.00;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ; КО
;;;         2;         2;;;;;;;;;;;;;;;;"=СУММПРОИЗВ(R[-1]C[-17]:R[-1]C[-1];RC[-17]:RC[-1])";"=СУММ(RC[-18]:RC[-2])";"=RC[1]/RC[2]";"=RC[-3]/RC[-2]";    226.29;"=RC[-3]*RC[-4]"
;;Приседания со штангой на плечах;    160.00;    160.00;    160.00;    160.00;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ; КО
;;;         4;         4;         4;         4;;;;;;;;;;;;;;"=СУММПРОИЗВ(R[-1]C[-17]:R[-1]C[-1];RC[-17]:RC[-1])";"=СУММ(RC[-18]:RC[-2])";"=RC[1]/RC[2]";"=RC[-3]/RC[-2]";    210.00;"=RC[-3]*RC[-4]"
;;Становая тяга;    100.00;    120.00;    140.00;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ; КО
;;;         5;         5;         5;;;;;;;;;;;;;;;"=СУММПРОИЗВ(R[-1]C[-17]:R[-1]C[-1];RC[-17]:RC[-1])";"=СУММ(RC[-18]:RC[-2])";"=RC[1]/RC[2]";"=RC[-3]/RC[-2]";    212.50;"=RC[-3]*RC[-4]"
;;Гиперэкстензия;;;;;;;;;;;;;;;;;;
