18.04.2014; Жим ногами + дотяг;;;;;;;;;;;;;;;;;;;;;;;;;
;;Становая тяга с плинтов;200;200;200;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;2;;;;;;;;;;;;;;;1200;6;91%;200;220; 5.45   ;
21.04.2014; Жим 105 3х4;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;80;90;105;105;105;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;3;4;4;4;;;;;;;;;;;;2280;25;66%;91.2;137.5; 16.58   ;
;;Жим гантелей на скамье с наклоном вверх;25;25;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;;;;;;;;;;;;;;;;750;30;63%;25;39.6; 18.94   ;
;;Жим штанги с груди сидя в смите;50;50;50;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;6;6;6;;;;;;;;;;;;;;;900;18;66%;50;75.48; 11.92   ;
;;;;;;;;;;;;;;;;;;;;3930;73;;;; 47.44   ;65%
23.04.2014; Доседы 210 и тяга;;;;;;;;;;;;;;;;;;;;;;;;;
;;Полуприсед со штангой;210;210;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;;;;;;;;;;;;;;;;840;4;93%;210;226.29; 3.71   ;
;;Приседания со штангой на плечах;160;160;160;160;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;4;;;;;;;;;;;;;;2560;16;76%;160;210; 12.19   ;
;;Становая тяга;100;120;140;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;5;;;;;;;;;;;;;;;1800;15;56%;120;212.5; 8.47   ;
;;Гиперэкстензия;;;;;;;;;;;;;;;;;;;;;;;;
;;Пресс в тренажере;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;5200;35;;;; 24.37   ;70%
25.04.2014; Тяжелый жим+слинг;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;80;90;100;100;110;110;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;3;3;2;2;;;;;;;;;;;;1890;20;69%;94.5;137.5; 13.75   ;
;;Жим лежа в слинге;125;125;135;135;142.5;142.5;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;2;2;1;1;;;;;;;;;;;;1325;10;83%;132.5;158.82; 8.34   ;
;;Тяга штанги в наклоне;80;80;80;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;;;;;;;;;;;;;;;2400;30;60%;80;133.33; 18.00   ;
;;Тяга гантели одной рукой в наклоне;29.5;29.5;29.5;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;;;;;;;;;;;;;;;885;30;48%;29.5;61.88; 14.30   ;
;;Французский жим лежа;40;40;40;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;;;;;;;;;;;;;;;960;24;67%;40;60; 16.00   ;
;;;;;;;;;;;;;;;;;;;;7460;114;;;; 70.39   ;62%
28.04.2014; Легкий присед. Тяга яма+плинты;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;130;130;130;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;;;;;;;;;;;;;;;1560;12;62%;130;210; 7.43   ;
;;Становая тяга из ямы;100;130;150;167;185;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;2;1;1;;;;;;;;;;;;;1672;13;64%;128.6153846;200; 8.36   ;
;;Становая тяга с плинтов;180;180;190;200;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;1;1;;;;;;;;;;;;;;1830;10;83%;183;220; 8.32   ;
30.04.2014; Жим пирамида 117;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;60;70;80;95;95;110;110;117.5;120;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;6;5;4;4;4;3;3;1;1;;;;;;;;;2687.5;31;63%;86.69354839;137.5; 19.55   ;
;;Вертикальная тяга верхнего блока к груди широким хватом;72;77;82;86;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;3170;40;65%;79.25;121.33; 26.13   ;
;;Подъем гантелей на бицепс сидя;11.3;11.3;11.3;11.3;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;452;40;58%;11.3;19.58; 23.08   ;
05.05.2014; Полуприсед 220 2х2 и тяга;;;;;;;;;;;;;;;;;;;;;;;;;
;;Полуприсед со штангой;220;220;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;;;;;;;;;;;;;;;;880;4;97%;220;226.29; 3.89   ;
;;Приседания со штангой на плечах;155;155;155;155;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;4;;;;;;;;;;;;;;2480;16;74%;155;210; 11.81   ;
;;Становая тяга;90;120;145;145;145;145;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;4;4;4;4;;;;;;;;;;;;3250;25;61%;130;212.5; 15.29   ;
07.05.2014; Тяж жим пирамида 122;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;60;80;90;90;100;100;112;112;117;117;122;110;110;100;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;3;3;3;3;3;2;1;1;2;2;5;;;;3845;40;70%;96.125;137.5; 27.96   ;
;;Горизонтальная тяга узким хватом в блочном тренажере;64;64;64;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;12;12;;;;;;;;;;;;;;;2304;36;59%;64;109.33; 21.07   ;
;;Разгибание рук с гантелью из-за головы сидя;25;25;25;25;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;15;;;;;;;;;;;;;;1500;60;45%;25;55.58; 26.99   ;
12.05.2014; Присед 160 тяга 180;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;160;160;160;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;;;;;;;;;;;;;;;1920;12;76%;160;210; 9.14   ;
;;Становая тяга из ямы;150;150;150;150;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;3;3;3;3;;;;;;;;;;;;;;1800;12;75%;150;200; 9.00   ;
;;Становая тяга;180;180;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;;;;;;;;;;;;;;;;720;4;85%;180;212.5; 3.39   ;
15.05.2014; Легкий жим 100 4/3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;80;90;90;100;100;100;100;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;3;3;3;3;3;;;;;;;;;;2410;27;65%;89.25925926;137.5; 17.53   ;
;;Вертикальная тяга верхнего блока к груди широким хватом;68;72;77;82;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;2392;32;62%;74.75;121.33; 19.71   ;
;;Горизонтальная тяга узким хватом в блочном тренажере;68;73;77;82;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;2400;32;69%;75;109.33; 21.95   ;
;;Французский жим в блочном тренажере;55;55;55;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;;;;;;;;;;;;;;;2475;45;61%;55;90; 27.50   ;
16.05.2014; Легкий присед, тяга плинты 200;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;130;130;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;6;6;;;;;;;;;;;;;;;;1560;12;62%;130;210; 7.43   ;
;;Становая тяга с плинтов;180;200;200;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;2;;;;;;;;;;;;;;;1160;6;88%;193.3333333;220; 5.27   ;
;;Становая тяга;180;;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;1;;;;;;;;;;;;;;;;;180;1;85%;180;212.5; 0.85   ;
;;Подъем штанги на бицепс стоя;30;30;30;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;21;21;21;;;;;;;;;;;;;;;1890;63;45%;30;66.67; 28.35   ;
;;Гиперэкстензия;20;20;20;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;12;12;;;;;;;;;;;;;;;720;36;35%;20;57.6; 12.50   ;
19.05.2014; Легкий жим 110 3х3;;;;;;;;;;;;;;;;;;;;;;;;;
